,0,1,aspect_0,aspect_0_vec,aspect_1,aspect_1_vec,aspect_2,aspect_2_vec,aspect_3,aspect_3_vec,aspect_4,aspect_4_vec,aspect_5,aspect_5_vec,aspect_6,aspect_6_vec,aspect_7,aspect_7_vec,aspect_8,aspect_8_vec,aspect_9,aspect_9_vec
0,0.0,0.0,www,0.46866357,excel,0.9546379,room,0.6167457,package,0.7588339,able,0.37677532,attention,0.85338473,attitude,0.82741666,require,0.34398365,call,0.9052973,english,0.7961846
1,0.0,0.0,mailbox,0.45890987,microsoft,0.8087982,payment,0.5970547,reception,0.75794244,task,0.3546505,focus,0.8117261,ability,0.8165398,u,0.3342892,incoming,0.8731239,skill,0.56181073
2,0.0,0.0,career,0.44892442,outlook,0.80580974,information,0.59364474,material,0.74513865,job,0.34121507,requires,0.76765823,environment,0.7169845,mailbox,0.3319635,connect,0.58946884,second,0.5266183
3,0.0,0.0,company,0.44680154,written,0.78927207,notifies,0.5874789,area,0.70824397,data,0.3394391,positive,0.7600956,operation,0.67034423,like,0.3255043,answer,0.586833,spreadsheet,0.49174678
4,0.0,0.0,project,0.44111413,right,0.63150144,kept,0.58463275,pleasant,0.6745693,closure,0.33506984,writtencommunication,0.70480347,team,0.66689324,full,0.3188546,kmhs,0.5032023,diplomacy,0.49095756
5,0.0,0.0,going,0.43799883,beneficial,0.55271375,project,0.57031834,electronic,0.59924245,information,0.3153803,industry,0.667244,order,0.6418705,event,0.3123892,front,0.48164347,articulate,0.49063557
6,0.0,0.0,com,0.43728018,minded,0.5286975,item,0.5662647,party,0.58500445,wedding,0.31293264,experienced,0.6571801,health,0.63955605,savvy,0.31082404,appointment,0.47116822,clear,0.48844445
7,0.0,0.0,hospital,0.43634352,assertive,0.5273323,support,0.5660145,etc,0.5843885,www,0.30244344,diploma,0.6516392,range,0.63635105,love,0.3084871,adequate,0.4682802,ideal,0.48006767
8,0.0,0.0,task,0.43572104,expertise,0.50888765,certificate,0.5638313,message,0.53630674,room,0.30157566,understanding,0.63605726,clinic,0.6330304,provided,0.30682215,filtering,0.4514709,name,0.4791242
9,0.0,0.0,opportunity,0.43364164,skill,0.507703,mail,0.5637932,front,0.50964546,mail,0.29786915,would,0.63561696,com,0.62220407,xxx,0.3058836,known,0.44921112,diploma,0.47255218
10,0.0,0.0,review,0.43040928,quickbooks,0.5059154,appointment,0.55466974,support,0.4973969,law,0.28909498,york,0.6309532,family,0.6039014,catering,0.29937133,correctdepartment,0.4327079,previous,0.45865875
11,0.0,0.0,demeanor,0.42985383,aptitude,0.47037667,ensuring,0.5511271,duty,0.49566534,com,0.28306037,u,0.62438154,assignment,0.5985137,job,0.29824126,request,0.43141192,light,0.44614384
12,0.0,0.0,event,0.42722493,articulate,0.46353024,demeanor,0.54698366,per,0.48854107,mailbox,0.28215533,also,0.6120973,short,0.5911398,wpm,0.29421487,package,0.42898718,industry,0.44602016
13,0.0,0.0,notifies,0.42700392,workable,0.46238354,clinical,0.5426712,back,0.48039746,reliable,0.28194308,ideal,0.6052749,firm,0.5879452,applicable,0.29303482,accuracy,0.42881906,savvy,0.44127154
14,0.0,0.0,information,0.4265136,mailchimp,0.46058494,way,0.5412624,visitor,0.47759414,hospital,0.28146926,looking,0.5948144,ethic,0.5874144,industry,0.29225558,party,0.42600152,language,0.41279292
15,0.0,0.0,variety,0.42309988,adobe,0.45646527,main,0.52472067,main,0.47166252,least,0.27982733,personalityand,0.5764781,cultural,0.5510117,least,0.29158235,generalreception,0.39860228,experienced,0.41060275
16,0.0,0.0,job,0.42048994,chicago,0.4551511,task,0.51765716,request,0.4637813,variety,0.27800184,second,0.5745072,degree,0.5323659,understanding,0.28755176,material,0.39657632,assertive,0.40979767
17,0.0,0.0,veterinary,0.4184726,poised,0.4441132,departmental,0.5167413,greets,0.45693785,like,0.27714148,detail,0.5677547,integrity,0.52404046,senior,0.2873158,ada,0.3752438,understanding,0.40804744
18,0.0,0.0,certificate,0.41280383,seven,0.4325696,event,0.51527166,payment,0.45645458,demeanor,0.2759673,name,0.55458677,offering,0.52271706,train,0.28492042,apply,0.37063187,centered,0.4070465
19,0.0,0.0,ensuring,0.4119135,encompass,0.42763394,variety,0.51216257,departmental,0.45601514,care,0.2711243,require,0.550694,every,0.5165978,clerical,0.28457072,faster,0.36440313,composed,0.4011778
20,0.0,0.0,like,0.41164774,sims,0.42566597,oversee,0.51142025,person,0.44850862,faster,0.27050185,wpm,0.5487714,tasker,0.5099483,company,0.28453457,spanish,0.3598883,person,0.4002596
21,0.0,0.0,way,0.4045817,addition,0.42020178,salon,0.5016762,greeting,0.44752228,ensuring,0.27010486,result,0.5457203,www,0.49805135,employer,0.2770922,irate,0.3483612,love,0.400259
22,0.0,0.0,item,0.4003321,furthermore,0.41987085,job,0.49000245,greet,0.44712144,project,0.26597655,previous,0.5425383,positive,0.48900518,veterinary,0.27631998,stored,0.3451336,addition,0.39800748
23,0.0,0.0,payment,0.40021068,operatories,0.41612512,pleasant,0.4859223,send,0.44629467,veterinary,0.26478463,full,0.53215426,salon,0.48663396,diploma,0.27574563,terminologymust,0.3432657,congenial,0.39396685
24,0.0,0.0,able,0.39697993,diplomacy,0.4047619,able,0.48244625,account,0.4461614,going,0.2623112,light,0.52325904,law,0.46553725,dedicated,0.27309448,ex,0.34091783,written,0.39012644
25,0.0,0.0,care,0.39661098,knowledge,0.40185213,spanish,0.47966838,accuracy,0.44341284,opportunity,0.2598537,etiquette,0.5096756,important,0.4621199,associate,0.27245516,pcda,0.3322811,memory,0.38946214
26,0.0,0.0,data,0.39468437,additionally,0.3933192,going,0.47596806,summon,0.42837977,review,0.25437924,school,0.50860155,place,0.45962697,care,0.27166253,microsoft,0.31932855,mandarin,0.3804505
27,0.0,0.0,prospective,0.39441195,literate,0.39247373,least,0.4726562,spanish,0.42740452,senior,0.25435302,literate,0.5034785,goal,0.45912126,would,0.27101707,accurate,0.31679118,underlying,0.3789509
28,0.0,0.0,xxx,0.39423758,word,0.3842247,review,0.47238466,clinical,0.42676818,oversee,0.25429726,assistant,0.5029105,result,0.45475543,de,0.2705884,information,0.3132326,seeking,0.3778175
29,0.0,0.0,situation,0.39354905,clear,0.37969863,applicable,0.46120164,memo,0.42241424,facility,0.25166923,family,0.5026051,able,0.44181418,school,0.27041626,ideally,0.31058332,literate,0.3748483
30,0.0,0.0,main,0.39219514,composed,0.37771964,per,0.4596666,upon,0.41868037,full,0.2512102,seeking,0.49495846,expectation,0.44075722,experienced,0.27000737,fed,0.30558854,looking,0.3715961
31,0.0,0.0,equal,0.39146936,resourcefulness,0.37487513,hospital,0.45417082,way,0.40611964,xxwpm,0.25032687,degree,0.49457186,encounter,0.4397513,data,0.2694522,pathogen,0.30511034,responsibility,0.36754718
32,0.0,0.0,apply,0.3913066,sincere,0.35120907,informing,0.4521648,letter,0.40396518,word,0.2458937,important,0.49173576,facility,0.4354698,looking,0.2692784,room,0.30006924,beneficial,0.3425815
33,0.0,0.0,senior,0.39114824,altru,0.3505391,apply,0.44922847,long,0.40390885,prospective,0.24466789,clear,0.48981327,somebody,0.4346094,seeking,0.26648366,monitor,0.29721087,operatories,0.34205154
34,0.0,0.0,room,0.39045274,out,0.3400756,firm,0.44005913,responds,0.39958882,spanish,0.24137428,addition,0.48938376,company,0.43329278,prospective,0.2652353,outlook,0.29376915,train,0.3340405
35,0.0,0.0,salon,0.37950307,kcctc,0.336548,responsibility,0.43724424,medical,0.39836422,apply,0.24078052,enthusiastic,0.48230362,career,0.42766902,diplomacy,0.26492658,mail,0.28871584,mailchimp,0.3296857
36,0.0,0.0,catering,0.37552875,congenial,0.33017442,associate,0.43500623,certificate,0.3973207,somebody,0.23778585,position,0.48120457,opportunity,0.42249262,dental,0.26438007,data,0.2854415,also,0.32607162
37,0.0,0.0,de,0.3754232,southside,0.329564,veterinary,0.43419322,adequate,0.3970157,mon,0.23463227,least,0.481081,demeanor,0.41978833,item,0.263158,xxwpm,0.2814518,optometry,0.32592952
